CDC Approved Site List 10.11.25,,,,,,,,,,,
Region,ICB,CDC ODS site code,Name of CDC,Host Trust ,Updated NHS Trust name,CDC Trust Code, CDC Archetype,Location,Post code for Permanent Approved Site,Lat,Lon
NW,Lancashire & South Cumbria ICB,L1O7L,Rossendale CDC,East Lancashire NHS Trust,East Lancashire Hospitals NHS Trust,RXR,Spoke,Rossendale,BB4 7PL,53.70082,-2.28066
NW,Cheshire & Merseyside ICB,V8P3V,Shopping City CDC,Warrington and Halton Teaching Hospitals NHS Foundation Trust,Warrington and Halton Teaching Hospitals NHS Foundation Trust,RWW,Spoke,Halton,WA7 2BY,53.32696,-2.6988
NW,Greater Manchester ICB,T8A9V,South East Manchester CDC,Tameside & Glossop Integrated Care NHS FT,Tameside and Glossop Integrated Care NHS Foundation Trust,RMP,Spoke,Denton,M34 3JP,53.45912,-2.11804
NW,Cheshire & Merseyside ICB,P9V3Z,Southport CDC,Mersey and West Lancashire Teaching Hospitals NHS Trust,Mersey and West Lancashire Teaching Hospitals NHS Trust,RBN,Spoke,Southport,PR8 6PN,53.634,-2.979
NW,Cheshire & Merseyside ICB,N9R7C,St Helens CDC,Mersey and West Lancashire Teaching Hospitals NHS Trust,Mersey and West Lancashire Teaching Hospitals NHS Trust,RBN,Large,St Helens,WA9 3DA,53.43953,-2.7189
NW,Cheshire & Merseyside ICB,N1J4R,Victoria Infirmary Northwich CDC,Mid Cheshire Hosptitals NHS FT,Mid Cheshire Hospitals NHS Foundation Trust,RBT,Spoke,Northwich,CW8 1AW,53.26195,-2.51982
NW,Cheshire & Merseyside ICB,T2K2S,Warrington & Halton CDC,Warrington and Halton Teaching Hospitals NHS Foundation Trust,Warrington and Halton Teaching Hospitals NHS Foundation Trust,RWW,Standard,Runcorn,WA7 2DA,53.32326,-2.69459
NW,Lancashire & South Cumbria ICB,O0D8X,Westmorland CDC ,University Hospitals of Morecambe Bay NHS Foundation Trust,University Hospitals of Morecambe Bay NHS Foundation Trust,RTX,Standard,Kendal,LA9 7RG,54.3067,-2.73255
NW,Lancashire & South Cumbria ICB,O1F4J,Whitegate Drive CDC,Blackpool Teaching Hospitals NHS Foundation Trust,Blackpool Teaching Hospitals NHS Foundation Trust,RXL,Standard,Blackpool,FY3 9ES,53.81287,-3.03464
EoE,Suffolk & North East Essex ICB,W3Z9Z,Newmarket CDC,West Suffolk NHS Foundation Trust,West Suffolk NHS Foundation Trust,RGR,Spoke,Newmarket,CB8 7JG,52.25089,0.39998
